"Winter","Freeze-Over Date","Thaw Date","Days of Ice Cover"
"1877-78","December 29","March 9","70"
"1878-79","December 6","March 29","113"
"1879-80","November 19","March 23","125"
"1880-81","November 16","April 29","164"
"1881-82","November 20","March 2","102"
"1882-83","December 2","April 10","129"
"1883-84","November 15","April 13","150"
"1884-85","November 24","April 13","140"
"1885-86","December 5","April 15","131"
"1886-87","November 24","",""
"1887-88","November 20","April 13","145"
"1888-89","December 12","March 24","102"
"1889-90","","March 24",""
"1890-91","December 4","",""
"1891-92","","April 2",""
"1892-93","November 18","April 5","138"
"1893-94","November 17","March 10","113"
"1894-95","November 15","",""
"1895-96","","March 30",""
"1896-97","","",""
"1897-98","","",""
"1898-99","","",""
"1899-00","","",""
"1900-01","","",""
"1901-02","","",""
"1902-03","","",""
"1903-04","","",""
"1904-05","","",""
"1905-06","","",""
"1906-07","","",""
"1907-08","","",""
"1908-09","","",""
"1909-10","","",""
"1910-11","November 13","",""
"1911-12","","",""
"1912-13","","",""
"1913-14","November 2","",""
"1914-15","November 29","",""
"1915-16","","March 20",""
"1916-17","November 27","",""
"1917-18","","",""
"1918-19","","",""
"1919-20","","",""
"1920-21","","",""
"1921-22","","",""
"1922-23","","",""
"1923-24","","",""
"1924-25","","",""
"1925-26","","",""
"1926-27","November 20","",""
"1927-28","","March 24",""
"1928-29","November 29","March 25","116"
"1929-30","November 17","",""
"1930-31","","",""
"1931-32","","",""
"1932-33","","",""
"1933-34","","",""
"1934-35","","March 25",""
"1935-36","","March 24",""
"1936-37","","April 10",""
"1937-38","","March 21",""
"1938-39","November 25","March 25","120"
"1939-40","","April 9",""
"1940-41","November 13","",""
"1941-42","","",""
"1942-43","","",""
"1943-44","","March 24",""
"1944-45","December 2","March 17","105"
"1945-46","November 24","March 20","116"
"1946-47","","",""
"1947-48","","March 26",""
"1948-49","December 7","March 27","110"
"1949-50","November 25","April 7","133"
"1950-51","November 23","April 9","137"
"1951-52","","",""
"1952-53","November 28","",""
"1953-54","","",""
"1954-55","","",""
"1955-56","","",""
"1956-57","","",""
"1957-58","","",""
"1958-59","November 27","",""
"1959-60","November 15","",""
"1960-61","","",""
"1961-62","","",""
"1962-63","","",""
"1963-64","","",""
"1964-65","","",""
"1965-66","","",""
"1966-67","","",""
"1967-68","","",""
"1968-69","December 7","April 9","123"
"1969-70","December 6","April 3","118"
"1970-71","December 9","April 10","122"
"1971-72","December 2","April 16","136"
"1972-73","November 30","March 14","104"
"1973-74","","March 30",""
"1974-75","December 9","April 19","131"
"1975-76","December 1, December 17","December 14, March 21","108"
"1976-77","","March 15",""
"1977-78","November 26","April 6","131"
"1978-79","November 26","April 17","142"
"1979-80","December 1","April 2","123"
"1980-81","December 2","March 14","102"
"1981-82","November 29","",""
"1982-83","December 9","March 6","87"
"1983-84","December 9","April 2","115"
"1984-85","November 18, December 4","November 22, March 20","110"
"1985-86","November 25","March 29","124"
"1986-87","November 13","March 8","115"
"1987-88","December 5, December 16","December 8, March 24","102"
"1988-89","December 8","March 29","111"
"1989-90","November 22","March 14","112"
"1990-91","December 4","March 23","109"
"1991-92","November 5","March 8","124"
"1992-93","November 15, November 27","November 17, April 9","135"
"1993-94","November 28, December 24","December 9, March 26","103"
"1994-95","December 8","March 17","99"
"1995-96","November 12","March 25","134"
"1996-97","November 27","March 26","119"
"1997-98","December 8","February 26","80"
"1998-99","December 22","March 11","79"
"1999-00","December 18","March 4","77"
"2000-01","November 21","April 5","135"
"2001-02","December 24","March 14","80"
"2002-03","December 2","March 24","112"
"2003-04","December 9","March 16","98"
"2004-05","December 14","April 3","110"
"2005-06","November 25, December 3","November 28, March 14","104"
"2006-07","December 3, January 10","January 4, March 25","106"
"2007-08","November 30","April 6","128"
"2008-09","November 28","March 18","110"
"2009-10","December 10","March 26","106"
"2010-11","December 4","April 1","118"
"2011-12","December 11, December 17","December 15, April 8","86"
"2012-13","December 21","April 9","109"
"2013-14","November 27","April 9","133"
"2014-15","November 14","March 21","127"
"2015-16","December 30","March 8","69"
"2016-17","December 9","February 27","79"
"2017-18","December 10","March 24","104"
"2018-19","December 7","March 28","111"
"2019-20","November 12, December 11","November 27, March 12","107"
"2020-21","December 6, December 13","December 9, March 20","100"
"2021-22","December 7, December 23","December 16, March 25","101"
"2022-23","November 21, December 18","November 28, March 20","99"
"2023-24","December 13, December 19, January 5","December 17, December 24, February 28","63"
"2024-25","December 1","",""
